Function Code = xxxxxx : rA = xxxxxxxxxxxxxxxx, rB = xxxxxxxxxxxxxxxx, ww = xx, rD = xxxxxxxxxxxxxxxx
Function Code = 000001 : rA = 000000001ea0073d, rB = 00000000ac533058, ww = 11, rD = 000000000c000018
Function Code = 000010 : rA = 0000000068082dd0, rB = 00000000e3b970c7, ww = 11, rD = 00000000ebb97dd7
Function Code = 000011 : rA = 000000003521f36a, rB = 0000000036364d6c, ww = 11, rD = 000000000317be06
Function Code = 000100 : rA = 00000000763f95ec, rB = 000000007e28ebfc, ww = 11, rD = ffffffff89c06a13
Function Code = 000101 : rA = 0000000003f99b07, rB = 0000000074174de8, ww = 11, rD = 0000000003f99b07
Function Code = 000110 : rA = 000000007132b7e2, rB = 00000000ee28b0dc, ww = 00, rD = 000000005f5a67be
Function Code = 000110 : rA = 0000000076f6abed, rB = 0000000072fef1e5, ww = 01, rD = 00000000e9f49dd2
Function Code = 000110 : rA = 00000000f66c20ec, rB = 00000000f0c6dee1, ww = 10, rD = 00000000e732ffcd
Function Code = 000110 : rA = 00000000c5d1908b, rB = 000000009b17b036, ww = 11, rD = 0000000160e940c1
Function Code = 000111 : rA = 00000000143d1d28, rB = 0000000069f951d3, ww = 00, rD = 00000000ab44cc55
Function Code = 000111 : rA = 00000000d49774a9, rB = 000000006229cbc4, ww = 01, rD = 00000000726ea8e5
Function Code = 000111 : rA = 000000008309b606, rB = 000000002279a344, ww = 10, rD = 00000000609012c2
Function Code = 000111 : rA = 0000000068d649d1, rB = 000000001bd73b37, ww = 11, rD = 000000004cff0e9a
Function Code = 001000 : rA = 000000007154bde2, rB = 00000000c9612e92, ww = 00, rD = 0000000058b921f6
Function Code = 001000 : rA = 000000005f88b5bf, rB = 000000002397bb47, ww = 01, rD = 000000000d47f138
Function Code = 001000 : rA = 00000000ee8bb8dd, rB = 00000000d58514ab, ww = 10, rD = 0000000000000000
Function Code = 001001 : rA = 00000000cfc2249f, rB = 000000005c74cbb8, ww = 00, rD = 0000000057e87248
Function Code = 001001 : rA = 00000000c092f881, rB = 00000000a2922c45, ww = 01, rD = 000000002af926c5
Function Code = 001001 : rA = 00000000c61ac48c, rB = 00000000c285a285, ww = 10, rD = 9687b29e1104b4bc
Function Code = 001010 : rA = 0000000030118760, rB = 00000000e5e914cb, ww = 00, rD = 0000000000227000
Function Code = 001010 : rA = 0000000004db8309, rB = 000000008a2b4214, ww = 01, rD = 00000000d8003090
Function Code = 001010 : rA = 00000000177d2f2e, rB = 00000000573a29ae, ww = 10, rD = 000000004bcb8000
Function Code = 001010 : rA = 00000000f4ea08e9, rB = 00000000090c6312, ww = 11, rD = 0003d3a823a40000
Function Code = 001011 : rA = 0000000040e67f81, rB = 0000000028e18551, ww = 00, rD = 0000000040730340
Function Code = 001011 : rA = 00000000b374c466, rB = 0000000064d181c9, ww = 01, rD = 0000000059ba0062
Function Code = 001011 : rA = 00000000de84c0bd, rB = 00000000ac030458, ww = 10, rD = 00000000000000de
Function Code = 001011 : rA = 00000000e85ee0d0, rB = 00000000c3a0d887, ww = 11, rD = 0000000001d0bdc1
Function Code = 001100 : rA = 00000000aa020054, rB = 000000003c664578, ww = 00, rD = 000000000a000054
Function Code = 001100 : rA = 00000000d16c48a2, rB = 000000007a5a67f4, ww = 01, rD = 000000000034048a
Function Code = 001100 : rA = 00000000f6870ced, rB = 0000000050129fa0, ww = 10, rD = 00000000f6870ced
Function Code = 001100 : rA = 00000000ae2daa5c, rB = 000000007493e7e9, ww = 11, rD = 0000000000000000
Function Code = 001101 : rA = 00000000c1876e83, rB = 0000000046ab338d, ww = 00, rD = 000000001c78e638
Function Code = 001101 : rA = 0000000078ac71f1, rB = 00000000d254d2a4, ww = 01, rD = 00000000ac78f171
Function Code = 001101 : rA = 000000008e4d721c, rB = 00000000548ad9a9, ww = 10, rD = 00000000721c8e4d
Function Code = 001101 : rA = 0000000096d6c62d, rB = 0000000077926bef, ww = 11, rD = 96d6c62d00000000
Function Code = 001110 : rA = 0000000098462630, rB = 00000000a5a02e4b, ww = 00, rD = ffffffff00000000
Function Code = 001110 : rA = 00000000f0ab9ae1, rB = 00000000096ba712, ww = 01, rD = ffffffff00190000
Function Code = 001110 : rA = 00000000a80d5650, rB = 0000000094099028, ww = 10, rD = ffffffff00000001
Function Code = 001110 : rA = 000000009726962e, rB = 000000009525442a, ww = 11, rD = 0000000000000001
Function Code = 001111 : rA = 0000000097398a2e, rB = 000000008e711a1c, ww = 00, rD = 0000000009390812
Function Code = 001111 : rA = 00000000e7ec28cf, rB = 00000000dce5c2b9, ww = 01, rD = 000000000b0728cf
Function Code = 001111 : rA = 000000004ee8139d, rB = 000000000a28a914, ww = 10, rD = 0000000007cb7411
Function Code = 001111 : rA = 00000000d9b57ab3, rB = 000000000631590c, ww = 11, rD = 0000000000f64e0f
Function Code = 010000 : rA = 00000000cd08fa9a, rB = 000000009d05d63a, ww = 00, rD = 00000000a429f424
Function Code = 010000 : rA = 00000000dd7c78ba, rB = 000000002626034c, ww = 01, rD = 00000000bf9f5410
Function Code = 010000 : rA = 000000007c6b0bf8, rB = 000000001afdff35, ww = 10, rD = 0000000000000000
Function Code = 010001 : rA = 000000008067d000, rB = 00000000e77780ce, ww = 00, rD = 0000000029710000
Function Code = 010001 : rA = 00000000eb87d4d7, rB = 00000000538241a7, ww = 01, rD = 00000000b0f4cc91
Function Code = 010001 : rA = 00000000ba76ec74, rB = 00000000462b4d8c, ww = 10, rD = 87d106d765561490
Function Code = 010010 : rA = 00000000ae0f9e5c, rB = 00000000ca9b7495, ww = 00, rD = 000000000d030c09
Function Code = 010010 : rA = 0000000095edf82b, rB = 000000001d14a13a, ww = 01, rD = 0000000000c300fc
Function Code = 010010 : rA = 00000000f53578ea, rB = 0000000089c63813, ww = 10, rD = 000000000000fa8b
Function Code = 010010 : rA = 000000009b81e237, rB = 0000000001107d02, ww = 11, rD = 000000000000c786
